Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Shaun Atley,North Melbourne,28,28.29,Gen. Defender,17,7.306,75.235,54.529,0,0,0,0,87.941,7.765,8,15.765,80.597,68.939,91.912,49.254,1.706,2.235,257.294,16.321,1.647,9.571,2.353,6.7,4.588,11.294,15.882,28.889,3.882,3.824,0.176,0.059,0.647,0.706,3.353,0,0.059,0.059,0,0.529,0.529,0,0,0,0,,0,,1.471,0,0.882,26.667,0,,1,0.059,0,0.059,0.353,100,2.059,14.706,0.529,0.647,1.294,11.294,8,0.882
Josh Walker,North Melbourne,28,28.13,Key Defender,17,6.324,61.353,43.647,0,0,0,0,85.235,6.294,4.412,10.706,70.879,64.486,80,58.791,0.647,1.235,139.588,13.038,1.765,6.067,2.353,4.55,4.824,5.588,10.412,46.328,4.353,2.529,0.412,0,0.059,0.059,3.824,1.588,0.471,1.529,0.059,0.647,0.588,0.059,0.647,0.932,0.118,18.182,0.059,50,1.059,0.059,2.588,25,1,29.412,3,0.176,0.176,0.471,0.118,37.5,1.647,11.765,0.529,0.059,3.059,5.824,3.941,2.412
Jed Anderson,North Melbourne,26,26.9,Midfielder,15,10.993,104.667,83.533,29,1.933,5,3,70.267,11.8,9.2,21,67.619,58.192,79.71,56.19,3.6,1.267,279.933,13.33,3.133,6.702,3.467,6.058,9.667,10.867,20.533,47.078,2.133,6.667,1.133,1.467,2.867,4.333,2.733,0.067,0.2,0.333,0.067,1.4,0.533,0.867,0,0,0,,0,,5.067,0.733,0.133,50,0.067,0,3,0.2,0.267,0.467,0.667,42.857,4.333,31.401,1,0,1.2,19.8,9.667,0.267
Trent Dumont,North Melbourne,25,25.5,Midfielder,17,9.688,101.235,78.824,5,0.294,1,0,82.353,10.353,9.765,20.118,71.93,61.932,82.53,51.462,3.059,1.647,289.471,14.389,1.647,12.214,3.706,5.429,7.824,12.412,20.235,38.663,2.176,5.588,0.588,1.588,1.706,3.294,3.059,0.118,0.235,0.176,0.118,1.059,0.471,0.588,0,0,0,,0,,4.529,0.765,0.176,33.333,0.059,100,3,0.176,0.235,0.471,0.294,37.5,3.294,23.529,0.882,0,1.118,19.647,9.588,0.471
Aaron Hall,North Melbourne,30,30.14,Gen. Forward,15,9.207,73,60.867,0,0,0,1,80.933,8.933,5.667,14.6,66.667,58.955,78.824,61.187,3.267,0.6,264.467,18.114,2.133,6.844,3.133,4.66,5.133,9.667,14.8,34.685,1.933,3.667,0.867,0.533,0.867,1.4,3.133,0.333,0.667,0.133,0.267,0.4,0.533,-0.133,0,0,0,,0,,2.4,0.8,0,,0.4,83.333,10,0.667,0.933,1.733,0.533,38.462,3.667,25.463,0.333,0.267,0.267,14.4,6.067,0
Paul Ahern,North Melbourne,24,24.41,Mid-Forward,6,4.933,48.833,39.167,0,0,0,0,59,5.833,4.667,10.5,55.556,48.571,64.286,55.556,0.833,0.667,150.167,14.302,2.333,4.5,2.5,4.2,5.667,5.167,10.833,52.308,1.5,4.5,1.5,0.333,0.5,0.833,2.167,0.5,0.167,0.167,0,0.5,0.167,0.333,0,0,0,,0,,1.167,0.167,0.167,0,0,,1,0.167,0.167,0.333,0.333,50,1.5,10.465,0.5,0.333,0.833,10.5,4,0.667
Paddy Ryder,St Kilda,32,32.8,Ruck,14,12.136,97.643,61.714,22,1.571,5,1,72.643,5.643,2.429,8.071,67.257,62.025,79.412,69.912,1.786,0.357,127.857,15.841,1.357,5.947,1.643,4.913,5,2.857,7.857,63.636,2.143,2.643,0.357,0.714,1.286,2,2.071,0.714,0.571,0.857,0.143,1.143,0.929,0.214,37.786,53.706,20.929,55.388,7.214,34.471,2.5,0.286,0.571,37.5,0.929,38.462,10,0.714,0.143,0.857,0.286,83.333,3.857,21.344,2.5,0,2.857,11,4.143,2
Jarryn Geary,St Kilda,32,32.52,Gen. Defender,16,5.925,63.375,42.188,3,0.188,1,0,80.312,5.188,5.188,10.375,78.313,74.699,81.928,50,0.812,1,107.625,10.373,1.5,6.917,1.875,5.533,4.188,6.438,10.625,39.412,2.625,2.875,0.312,0.188,0.688,0.875,3,0.438,0.375,0.312,0.125,0.375,0.688,-0.312,0,0,0,,0,,1.75,0.438,0.5,25,0.688,36.364,5,0.312,0.062,0.5,0.25,62.5,2.312,12.671,0.438,0.062,2.188,10.562,5.375,1.188
Dylan Roberton,St Kilda,29,29.52,Gen. Defender,1,0.7,26,20,0,0,0,0,82,7,1,8,75,71.429,100,87.5,0,4,215,26.875,2,4,3,2.667,0,4,4,0,2,0,0,0,0,0,1,0,0,0,0,0,2,-2,0,0,0,,0,,0,0,3,0,0,,0,0,0,0,0,,0,0,0,0,6,3,2,3
Dan Hannebery,St Kilda,29,29.84,Midfielder,8,7.05,69.375,56.125,1,0.125,1,0,68.75,8.375,9.25,17.625,63.83,52.239,74.324,47.518,3.125,1,247.375,14.035,2.375,7.421,3.875,4.548,5.75,11.75,17.5,32.857,1.25,3.875,0.25,0.875,1.875,2.75,2.375,0,0.125,0.125,0.25,0.25,0.625,-0.375,0,0,0,,0,,1.5,0.5,0.25,50,0,,1,0.125,0.25,0.375,0.125,33.333,3.25,18.182,0.375,0,0.75,13,6.375,0.125
