Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Ned McHenry,Adelaide,20,20.46,Gen. Forward,8,3.275,39.625,36.875,0,0,0,0,80.25,3.875,5.25,9.125,65.753,41.935,83.333,42.466,1.125,0.375,97.875,10.726,3.125,2.92,2.375,3.842,4.125,5.75,9.875,41.772,1.125,3.125,0.75,0.25,0.5,0.75,2.125,0,0.25,0.25,0,1.25,1.625,-0.375,0,0,0,,0,,2.875,0.875,0,,0.25,0,0,0,0.5,0.75,0,0,2.125,18.28,0.5,0,0.25,17.125,7.125,0
Jarrod Harbrow,Gold Coast,32,32.45,Gen. Defender,13,3.985,57.538,44.769,0,0,0,0,83.538,9.077,3.308,12.385,73.913,69.492,86.047,73.292,1.077,2.154,186.769,15.081,2.385,5.194,2.462,5.031,2.846,9.077,11.923,23.871,3.769,2.231,0,0,0.231,0.231,3.077,0.154,0,0.846,0.077,0.462,0.923,-0.462,0,0,0,,0,,1,0,0.769,20,0.077,0,0,0,0,0,0.077,,1.154,6.787,0.385,0.154,1.769,6.923,4.769,1.077
Pearce Hanley,Gold Coast,32,32.12,Gen. Defender,8,4.6,59.125,46.5,0,0,0,0,74.875,8.375,3.25,11.625,70.968,64.179,88.462,72.043,2,2.25,276.125,23.753,2.75,4.227,3,3.875,3.75,7.75,11.5,32.609,4.875,2.375,0.125,0,0.5,0.5,3.75,0.375,0.125,1.875,0.25,0.5,1,-0.5,0,0,0,,0,,1.5,0.125,0.375,0,0,,0,0,0.125,0.25,0.125,0,1.875,10.417,1,0.625,0.625,7.75,3.875,0.375
Kyron Hayden,North Melbourne,21,21.56,Gen. Defender,8,5.2,52.375,37,0,0,0,0,74.625,4.75,5.125,9.875,73.418,57.895,87.805,48.101,0.75,1.375,138.25,14,2.125,4.647,2.25,4.389,4.25,6.375,10.625,40,3.5,3.875,0,0,0.625,0.625,2.75,0.125,0,0.75,0,0.375,0.875,-0.5,0,0,0,,0,,1.625,0,0.875,28.571,0,,0,0,0,0,0,,1.5,8.955,0.5,0.125,1,8.875,6.75,0.875
Cale Hooker,Essendon,32,32.21,Key Defender,8,5.225,69.375,45.75,3,0.375,1,0,90.375,5.375,5.75,11.125,75.281,74.419,76.087,48.315,0,2,98.375,8.843,1.875,5.933,1.875,5.933,4.375,5.75,10.125,43.21,4.5,3.375,0.625,0,0,0,4.625,0.625,0.5,1.375,0.125,0.5,0.625,-0.125,0,0,0,,0,,0.75,0,1.875,13.333,0.5,25,3,0.375,0.375,0.875,0,42.857,2.25,13.333,0.625,0.125,5,3.625,2.375,4.875
Shaun McKernan,Essendon,30,30.33,Key Forward,9,2.878,45.778,39.667,0,0,0,0,78,5.333,2.778,8.111,53.425,52.083,56,65.753,1.222,0.444,140,17.26,3.778,2.147,3.222,2.517,4.778,3.778,8.556,55.844,0.889,2,0.556,0.222,0.667,0.889,3.444,0.889,1.333,0.333,0.778,0.444,2,-1.556,12.111,16.465,4.444,36.697,0.667,15,1.222,0.333,0,,3.667,21.212,5,0.556,0.667,1.667,0.667,33.333,3.556,23.022,0.444,0.222,1.444,6,1.889,0.667
Callum Sinclair,Sydney,31,31.27,Ruck,13,7.392,77.077,60.077,1,0.077,1,0,81.231,4.923,4.231,9.154,73.95,62.5,87.273,53.782,1.231,1.154,132.385,14.462,2.923,3.132,2.231,4.103,5.308,3.846,9.154,57.983,1.385,2.769,0.308,0.538,1.769,2.308,2.462,0.615,0.308,0.385,0.231,1.154,1.846,-0.692,53.231,72.689,22.385,42.052,6,26.804,2.462,0.385,0.846,18.182,0.769,0,3,0.231,0.231,0.615,0.077,37.5,2.231,14.796,1.154,0,2.231,9.615,5.231,1.769
Jake Carlisle,St Kilda,29,29.24,Key Defender,13,5.438,70.769,53.154,1,0.077,1,1,90.231,8.231,3,11.231,77.397,74.766,84.615,73.288,0.462,2.385,125.538,11.178,1,11.231,1.692,6.636,3.846,7.231,11.077,34.722,4.462,2.154,0.077,0,0.077,0.077,5.615,0.923,0,1.538,0.077,0.615,0.308,0.308,1.308,1.852,0.692,52.941,0.077,11.111,1.308,0,2.538,21.212,0,,0,0,0,0,0.077,,1.308,7.556,0.769,0,4.385,5.308,4.385,3.692
Lin Jong,Western Bulldogs,27,27.57,Mid-Forward,3,7.8,74,49.333,0,0,0,0,71.667,4,9.667,13.667,85.366,58.333,96.552,29.268,1.333,0,97.667,7.146,2.333,5.857,1,13.667,5,8,13,38.462,1.333,3,0,0,0.667,0.667,3.333,1.333,0.667,0.333,0.333,0.667,1.667,-1,0.333,0.51,0,0,0,,3,1,0,,0.667,50,0,0,0.333,0.333,0.333,0,3.667,20.755,1,0,1,11,4.333,0
Toby McLean,Western Bulldogs,24,24.91,Gen. Forward,12,7.275,68.25,53.167,9,0.75,1,0,76.667,4.75,9,13.75,77.576,50.877,91.667,34.545,2.167,0.333,143.667,10.448,1.583,8.684,2,6.875,5.25,8.417,13.667,38.415,1.667,3.833,0.833,0.417,1.083,1.5,1.333,0.167,0.333,0,0.167,1.083,0.833,0.25,0,0,0,,0,,3.75,0.417,0.083,100,0.417,20,6,0.5,0.333,1.083,0.417,46.154,3.5,18.502,0.25,0,0.417,13.417,5.417,0.417
Rupert Wills,Collingwood,27,27.61,Midfielder,8,5.85,71,55.75,0,0,0,0,61.875,5.375,10.125,15.5,71.774,41.86,87.654,34.677,1.5,0.75,72.25,4.661,2.75,5.636,2.375,6.526,6.625,9.125,15.75,42.063,1.875,4.5,0.375,0.625,2,2.625,1.25,0,0,0,0,1,1.125,-0.125,0.75,1.019,0,0,0,,4.5,0.625,0,,0,,0,0,0,0.125,0.25,0,2.625,16.154,0.75,0,1.125,16.625,6.375,0.375
Jono Marsh,St Kilda,25,25.2,Key Forward,6,4.533,53.5,39.5,0,0,0,0,77.833,4.667,4.167,8.833,56.604,39.286,76,52.83,1.667,0.167,155,17.547,1.333,6.625,2.167,4.077,3.833,5,8.833,43.396,1,2.5,0.833,0.167,0.667,0.833,1.667,0.167,0.833,0,0.5,0.667,0.333,0.333,4,5.97,0.333,8.333,0.167,50,2.333,0.833,0,,1.667,20,2,0.333,0.833,1.333,0.333,25,3.667,20,0.5,0,2,12,3.667,1.5
Thomas Williamson,Carlton,22,22.05,Gen. Defender,15,4.213,58.333,44.6,0,0,0,0,75.067,6.867,3.667,10.533,71.519,69.903,74.545,65.19,1,1.867,182.333,17.31,2.133,4.938,1.733,6.077,3.733,6.867,10.6,35.22,3.133,2.667,0.067,0,0.667,0.667,3.267,0.133,0,0.6,0.067,0.733,0.6,0.133,0,0,0,,0,,1.867,0,1.2,16.667,0,,1,0.067,0.067,0.133,0.267,50,1.333,8.065,0.4,0.2,1.333,7.733,5.6,1
Jack Steven,Geelong,30,30.76,Mid-Forward,9,5.3,70.778,68.333,0,0,0,0,68.333,9.333,7,16.333,68.707,57.143,84.127,57.143,2.333,0.778,201.444,12.333,1.778,9.188,2.111,7.737,4.556,11.444,16,28.472,0.778,2.556,0.556,0.444,2.222,2.667,3.667,0,0.111,0.111,0.222,1.333,0.667,0.667,0,0,0,,0,,3.778,1.111,0,,0.222,0,1,0.111,0.222,0.444,0.111,25,3.444,17.514,0.889,0.222,0.556,14.333,5.333,0.222
Cameron Ellis-Yolmen,Brisbane,27,27.92,Mid-Forward,9,6.089,61,44.333,0,0,0,0,66.222,5.556,5.333,10.889,68.367,52,85.417,51.02,1.556,1.111,119,10.929,1.556,7,2.222,4.9,6.111,4.667,10.778,56.701,1.444,4.778,0.778,1.111,1.667,2.778,2,0.222,0.333,0,0.222,0.556,0.667,-0.111,0,0,0,,0,,2.556,0.556,0,,0.667,16.667,3,0.333,0.222,0.556,0,60,2.444,10.837,0.889,0,1,12.111,4.444,0.222
Archie Smith,Brisbane,25,25.45,Ruck,5,4.04,40.4,28.4,0,0,0,0,50.4,1.8,3.6,5.4,70.37,66.667,72.222,33.333,0.6,0.2,37,6.852,2,2.7,0.6,9,3.4,2,5.4,62.963,0.4,1.8,0,1,0.8,1.8,0.4,0,0,0,0.2,0.6,1,-0.4,27.8,38.398,11.4,41.007,2.6,22.807,1.4,0.6,0.4,0,0.6,0,0,0,0,0,0.2,,1.6,6.897,0.8,0,1.8,5.4,2,1.4
Will Schofield,West Coast,31,31.93,Key Defender,4,4.65,43,21,0,0,0,0,87.75,3,2.5,5.5,90.909,91.667,90,54.545,0.5,0.5,85,15.455,1.25,4.4,1,5.5,2.25,2.75,5,45,3.25,2,0,0,0,0,0.75,0,0,0.25,0,0.5,1.25,-0.75,0,0,0,,0,,2,0,2.75,27.273,0,,0,0,0,0,0,,1.25,8.475,0.75,0,4,4.5,3.25,4
Nathan Wilson,Fremantle,27,27.98,Gen. Defender,15,5.767,73.533,51.733,2,0.133,2,0,82,10.2,3.467,13.667,80.488,79.739,82.692,74.634,1.467,4.267,302.333,22.122,1.333,10.25,3.133,4.362,3.2,9,12.2,26.23,3.8,2.533,0,0,0.4,0.4,3.333,0,0,0.8,0,0.6,0.2,0.4,0,0,0,,0,,0.933,0,1,6.667,0,,1,0.067,0.067,0.133,0,50,1.733,13.333,0.667,0.733,2.667,6.867,5.667,2.133
Shane Mumford,Greater Western Sydney,34,34.49,Ruck,10,8.67,78.3,48.3,0,0,0,0,83.2,1.4,6.6,8,82.5,57.143,87.879,17.5,1,0.4,34.5,4.312,3.6,2.222,1,8,5.9,2.6,8.5,69.412,1.6,3.3,0.4,1.3,1.9,3.2,1.1,0.3,0.2,0.4,0,1.4,2.8,-1.4,60,80.645,20.4,34,6.6,32.353,3.4,0.5,0.7,14.286,0.5,0,1,0.1,0,0.3,0.1,33.333,2.5,14.368,1.7,0,4.2,11.2,5.7,2.9
Brayden Ham,Essendon,21,21.68,Midfielder,10,6.48,51.7,40.3,0,0,0,0,79.6,6.7,3.2,9.9,77.778,74.627,84.375,67.677,3.3,0.9,244.8,24.727,1,9.9,2.3,4.304,2.4,7.5,9.9,24.242,1.2,2.2,0.2,0.2,0.1,0.3,2.8,0.1,0.2,0.1,0.2,0.1,0.2,-0.1,0,0,0,,0,,1.3,0.1,0.1,0,0.6,16.667,1,0.1,0.1,0.4,0.2,25,2.2,14.865,0.4,0.2,0.4,8.9,5.3,0.2
Martin Gleeson,Essendon,26,26.35,Gen. Defender,13,4.992,54.615,40.077,0,0,0,0,82.308,5.769,5,10.769,85,77.333,93.846,53.571,0.769,2.308,145.077,13.471,1.692,6.364,1.462,7.368,3.231,7.231,10.462,30.882,4.077,2.615,0,0,0.154,0.154,3.077,0.231,0,0.769,0,0.154,0.615,-0.462,0,0,0,,0,,1.308,0,1.692,36.364,0,,0,0,0,0,0.077,,1.231,8.421,0.385,0.462,2.615,6.615,5.692,2.231
Stephen Hill,Fremantle,30,30.66,Gen. Defender,12,4.575,62.917,50.25,1,0.083,1,0,81.083,8,5.083,13.083,69.427,60.417,83.607,61.146,1.417,2.5,205.167,15.682,1.917,6.826,2.833,4.618,4.083,9.25,13.333,30.625,3.25,3.167,0,0,0.333,0.333,3.333,0.333,0.083,0.833,0.083,0.583,0.5,0.083,0,0,0,,0,,1.75,0.083,0.667,25,0,,0,0,0,0.167,0,0,1.5,10.778,0.167,0.083,1.833,6.917,4.25,1.583
Myles Poholke,Adelaide,22,22.47,Mid-Forward,5,5.56,53,45,0,0,0,0,78.8,5.8,4.6,10.4,61.538,48.276,78.261,55.769,1.6,0.4,174.4,16.769,2.2,4.727,3.2,3.25,4.6,6.2,10.8,42.593,1,3.4,0.8,0.2,1.2,1.4,3,0.2,0.6,0.2,0.2,0.2,1,-0.8,0,0,0,,0,,2.4,0,0,,0.6,0,2,0.4,0.2,0.6,0.4,66.667,2.8,18.919,0.4,0.4,1,12.2,6,0.4
Mitch Hannan,Melbourne,26,26.81,Gen. Forward,9,6.867,52.778,38.111,0,0,0,0,71.444,4.556,3.444,8,73.611,68.293,80.645,56.944,2.444,0,141,17.625,1.556,5.143,1.889,4.235,4.444,3.778,8.222,54.054,1,2.444,0.778,0.111,0.111,0.222,2.333,0.667,0.222,0.222,0.222,0.889,0.667,0.222,0,0,0,,0,,1.667,1,0,,0.889,25,7,0.778,0.333,1.222,0.444,63.636,3.444,20.805,0.889,0,1,10.444,1.444,0.222
Aaron vandenBerg,Melbourne,28,28.83,Midfielder,12,4.925,56.083,46,0,0,0,0,72.25,6.083,5.75,11.833,64.789,52.055,78.261,51.408,2.083,1.333,173.833,14.69,2.75,4.303,3.417,3.463,4.833,7.75,12.583,38.411,1.75,3.417,0.25,0.5,1.583,2.083,2.833,0.167,0.25,0.417,0.417,0.667,1.167,-0.5,0,0,0,,0,,2.5,0.333,0.083,0,0,,1,0.083,0.083,0.417,0.333,20,2,11.111,0.333,0,1.417,14.417,6.583,0.75
Marley Williams,North Melbourne,27,27.44,Gen. Defender,8,4.975,65.875,46.25,0,0,0,0,77.5,8.625,3.625,12.25,76.531,69.565,93.103,70.408,1.25,3,195.5,15.959,1.875,6.533,2.25,5.444,4.375,7.875,12.25,35.714,4.125,3.375,0,0,0.375,0.375,2.75,0.375,0,0.875,0,0.5,0.75,-0.25,0,0,0,,0,,1.625,0,0.875,28.571,0,,0,0,0.125,0.125,0.125,0,1.75,14,0.625,0,1.625,7,5.375,1
Travis Varcoe,Collingwood,32,32.72,Gen. Defender,9,4.411,51.889,41.222,0,0,0,0,78.444,6,4.667,10.667,79.167,68.519,92.857,56.25,1.556,1.333,164.667,15.438,1.556,6.857,1.889,5.647,2.222,8.444,10.667,20.833,2.222,1.667,0.333,0,0.333,0.333,2.333,0.111,0,0.222,0.111,0,0.222,-0.222,0,0,0,,0,,1.667,0,0.333,33.333,0.222,0,1,0.111,0.222,0.333,0.333,33.333,1.778,12.121,0.333,0,1.333,10.444,6.222,0.667
Matthew Scharenberg,Collingwood,25,25.28,Gen. Defender,3,4.933,75,57,0,0,0,0,83.667,8.333,5,13.333,77.5,68,93.333,62.5,0,1,157,11.775,0.667,20,1,13.333,3.333,9,12.333,27.027,5.333,3,0,0,0,0,4,0,0,1.333,0,0.333,0.333,0,0,0,0,,0,,2.667,0,3,11.111,0,,0,0,0,0,0,,1.333,8.511,0.333,0,4.667,7,5.667,4.333
Andrew Phillips,Essendon,29,29.49,Ruck,5,6.66,73,49.2,0,0,0,0,82.2,3.4,3.6,7,62.857,47.059,77.778,48.571,1,0.4,77.6,11.086,2.6,2.692,2.8,2.5,6.8,2.2,9,75.556,1.6,3.2,0.2,2.4,1.6,4,1.6,0.8,0.2,0.4,0,1,2,-1,56.2,75.741,21.4,38.078,5.6,26.168,2.6,0.4,0.6,33.333,0.8,0,0,0,0.2,0.2,0.2,0,3.4,20.732,2.8,0,4.8,9,4,2.8
Mitchell Hibberd,Essendon,24,24.27,Midfielder,5,3.28,60.8,53.8,0,0,0,0,79.8,6.2,7.6,13.8,62.319,45.161,76.316,44.928,1,0.8,159.4,11.551,2.8,4.929,2.6,5.308,6.6,7.2,13.8,47.826,2.4,4.8,0.8,0.2,1.8,2,1.4,0,0.2,0.2,0.2,0.6,1.2,-0.6,0,0,0,,0,,4.6,1.2,0.4,50,0.6,0,0,0,0.4,0.6,0,0,2.6,16.883,0.8,0,0.6,19.6,9.2,0.4
Ryan Clarke,Sydney,23,23.53,Midfielder,10,6.8,75.9,59.4,1,0.1,1,1,89.3,8.6,7.8,16.4,68.293,61.628,75.641,52.439,2.8,1.5,220.3,13.433,2.5,6.56,3.7,4.432,6.3,10,16.3,38.65,3.4,5,0.4,0.6,1.1,1.7,2.4,0,0.1,0.1,0,1,0.5,0.5,0,0,0,,0,,2.5,0.1,0.3,0,0.2,0,2,0.2,0.1,0.3,0,66.667,2.3,16.197,0.6,0.1,1,17,9.4,0.3
Kyle Hartigan,Adelaide,29,29.14,Key Defender,12,5.492,58.5,38.083,0,0,0,0,89.667,5.667,3.583,9.25,76.577,77.941,74.419,61.261,0.333,2.833,159,17.189,1.583,5.842,2,4.625,3.667,5.25,8.917,41.121,5.417,2.5,0,0,0.083,0.083,3.083,0.417,0,1.75,0,0.667,0.667,0,0,0,0,,0,,1.5,0,2.583,29.032,0.083,0,0,0,0,0,0,,1.083,6.915,0.25,0,4.5,6.167,5.333,3.833
Jake Aarts,Richmond,26,26.06,Gen. Forward,14,6.85,60.643,43.714,0,0,0,1,79.643,5.143,4.571,9.714,72.794,66.667,79.688,52.941,1.643,0.214,147.429,15.176,2.286,4.25,2.286,4.25,4,6,10,40,1.214,3.143,1.286,0,0.5,0.5,2.214,0.071,0.714,0.143,0.286,0.571,1.286,-0.714,0,0,0,,0,,2.357,0.786,0,,1.071,13.333,14,1,0.357,1.429,0.286,70,3.571,19.084,0.286,0.214,0.714,11.643,2.214,0.214
Tommy Sheridan,Greater Western Sydney,27,27.17,Midfielder,1,-3.5,17,26,0,0,0,0,77,4,2,6,83.333,75,100,66.667,0,1,32,5.333,2,3,1,6,0,6,6,0,0,0,0,0,0,0,3,0,0,0,0,0,1,-1,0,0,0,,0,,1,0,0,,1,0,0,0,0,0,0,,2,11.111,0,0,0,14,7,0
Harry Jones,Hawthorn,21,21.79,Mid-Forward,1,4.7,54,36,0,0,0,0,76,3,8,11,100,100,100,27.273,1,1,92,8.364,3,3.667,1,11,3,8,11,27.273,0,2,0,2,1,3,1,0,0,0,0,1,3,-2,0,0,0,,0,,4,0,0,,1,0,0,0,0,0,0,,1,7.143,0,0,0,16,6,0
Sam Simpson,Geelong,22,22.54,Gen. Forward,9,7.578,74,54.667,0,0,0,0,74.222,6.667,7.333,14,65.079,56.667,72.727,47.619,1,0.556,135.222,9.659,2,7,2,7,6.889,6.778,13.667,50.407,2.222,5.889,1,0,1.778,1.778,2.556,0.111,0.333,0.222,0.222,0.778,0.889,-0.111,0,0,0,,0,,3,1,0,,0.667,50,3,0.333,0.222,0.778,0.222,42.857,3,15.607,0.556,0.111,0.889,14.222,4.889,0.444
William Kelly,Collingwood,20,20.37,Key Forward,1,5.5,36,24,0,0,0,0,71,4,1,5,60,50,100,80,1,0,108,21.6,1,5,1,5,3,3,6,50,0,2,2,0,0,0,2,1,0,0,0,0,1,-1,0,0,0,,0,,0,0,0,,1,0,1,1,1,2,0,50,2,10.526,0,0,1,7,0,1
Atu Bosenavulagi,Collingwood,20,20.28,Gen. Forward,3,3.033,32.667,27.333,0,0,0,0,62.667,3,4,7,66.667,44.444,83.333,42.857,1,0,96,13.714,2.667,2.625,3,2.333,3.333,4.333,7.667,43.478,0.667,2.333,1,0,0.333,0.333,2,0,0,0,0,0.667,1,-0.333,0,0,0,,0,,1.667,1,0,,0,,0,0,0,0.333,0.333,0,1.667,9.804,0.333,0.667,1,11,1.667,0.333
Joshua Morris,Hawthorn,19,19.14,Gen. Forward,4,2.425,27,25.5,0,0,0,0,67.75,3.5,2.25,5.75,52.174,35.714,77.778,60.87,1.5,0,95.75,16.652,1,5.75,1,5.75,3,2.5,5.5,54.545,1,2.75,1.5,0,0.5,0.5,1.25,0,0.5,0.25,0,0.25,0.5,-0.25,0.25,0.415,0,0,0,,1.5,0.5,0,,0.25,0,1,0.25,0.5,1.25,0,20,1,6.25,0,0.25,0.5,11,2.25,0.5
David Mackay,Adelaide,32,32.43,Gen. Defender,10,7.54,73.2,51.8,0,0,0,0,81,7.3,8.2,15.5,78.065,69.863,85.366,47.097,2,2.2,257.4,16.606,1.9,8.158,2.1,7.381,4.4,10.2,14.6,30.137,3.5,3.6,0.4,0,0.5,0.5,2.5,0.2,0.3,1.1,0,0.3,0.7,-0.4,0,0,0,,0,,1.6,0,0.4,25,0,,2,0.2,0.2,0.4,0,50,2.8,18.792,0.7,0.4,1.8,10.9,7.4,1.4
Andrew McPherson,Adelaide,21,21.53,Gen. Defender,9,6.922,68.556,46.556,0,0,0,0,72.889,6.222,6.444,12.667,77.193,71.429,82.759,49.123,0.889,1.889,158.889,12.544,1.444,8.769,2.778,4.56,5.111,7.667,12.778,40,4.889,3.778,0.111,0,0.222,0.222,2.778,0.556,0,1.222,0,0.667,0.222,0.444,0,0,0,,0,,1.667,0,1.333,16.667,0,,0,0,0,0,0.111,,2.333,15.108,1.333,0,1.778,7.333,6,1.333
Brayden Ainsworth,West Coast,22,22.1,Mid-Forward,9,4.011,45.444,35.667,0,0,0,0,78.333,4.889,3.667,8.556,72.727,63.636,84.848,57.143,0.556,0.444,89.778,10.494,1.667,5.133,1.778,4.812,3.333,5.889,9.222,36.145,1.556,2.111,0.444,0,0.333,0.333,2.889,0.111,0.333,0.222,0.222,0.222,0.889,-0.667,0,0,0,,0,,1.333,0.222,0.111,100,0.111,100,3,0.333,0.111,0.667,0.111,50,1.889,10.625,0,0,1.667,8.444,3.889,0.444
Jarrod Cameron,West Coast,20,20.66,Gen. Forward,5,3.18,28.6,22.2,0,0,0,0,64,3.2,1.6,4.8,62.5,56.25,75,66.667,1.2,0,103.4,21.542,2.8,1.714,2,2.4,2.2,3,5.2,42.308,1,1.8,0.4,0,0,0,1,0,0.2,0.2,0,0.4,1.8,-1.4,0,0,0,,0,,2.2,1,0,,0.2,0,2,0.4,0.2,0.8,0.2,50,1.4,7.778,0.2,0.2,0.6,8.4,1.8,0.6
Cam Sutcliffe,Port Adelaide,28,28.6,Gen. Forward,4,3.75,43.75,31,0,0,0,0,69.25,4.5,3.5,8,65.625,50,85.714,56.25,0.25,0,95.25,11.906,0.75,10.667,1.5,5.333,2.25,4.75,7,32.143,0.75,2,1.25,0.25,0,0.25,0.75,0,0.25,0,0.25,0.25,0,0.25,0,0,0,,0,,1.5,1,0,,0.75,33.333,1,0.25,0.5,1,0.5,25,2.5,11.494,0.25,0,1,8.75,3,0.75
Derek Eggmolesse-Smith,Richmond,22,22.66,Gen. Defender,6,4.617,60.5,47.167,8,1.333,1,2,70.5,8.833,4,12.833,74.026,75.472,70.833,68.831,1.5,2.5,269,20.961,3,4.278,3,4.278,2.833,8.833,11.667,24.286,3.333,2.5,0,0,0,0,2.5,0.167,0,0.667,0,0.5,1.333,-0.833,0,0,0,,0,,2.167,0,0.833,40,0,,0,0,0,0,0,,1.833,9.167,0.833,0.167,0.667,9.667,6.167,0.667
Elijah Taylor,Sydney,19,19.66,Gen. Forward,4,3.9,37.75,26.25,0,0,0,0,68.25,4.25,3.5,7.75,48.387,52.941,42.857,54.839,2,0.75,117.5,15.161,2.25,3.444,3.25,2.385,5.5,2.75,8.25,66.667,1,3.5,1,0,0.25,0.25,1,0.5,0,0,0,1.25,0.5,0.75,0,0,0,,0,,0.5,0,0,,1,0,1,0.25,0.25,1,0.25,25,2.25,15.254,0.25,0.25,1.75,9.75,2.75,0.75
Sam Mayes,Port Adelaide,26,26.61,Gen. Defender,6,5.133,70.833,57.667,0,0,0,0,83.333,8.333,5.333,13.667,78.049,74,84.375,60.976,2.5,2.167,298.667,21.854,1.5,9.111,2.167,6.308,3.667,9,12.667,28.947,3.167,2.5,0.167,0.167,0.5,0.667,3.333,0.333,0,0.5,0.167,0.833,0.5,0.333,0,0,0,,0,,2.833,0,1,50,0,,1,0.167,0.333,0.5,0.167,33.333,2.833,16.19,0.333,0,1.667,9.833,7.333,1
Darren Minchington,Hawthorn,27,27.06,Gen. Forward,4,8.3,55.75,38,0,0,0,0,76.75,6,3.75,9.75,71.795,58.333,93.333,61.538,1.5,0.5,145.75,14.949,1.5,6.5,2,4.875,5,5.25,10.25,48.78,2.25,4.25,2,0.5,0,0.5,1.5,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,,0,,1.25,0.25,0.25,100,1.25,20,2,0.5,0.5,1.5,0.5,33.333,3.25,20,0.75,1,0.5,12,3.75,0
Patrick Naish,Richmond,21,21.95,Midfielder,1,2.4,42,34,0,0,0,0,86,3,6,9,44.444,33.333,50,33.333,2,0,158,17.556,2,4.5,3,3,5,4,9,55.556,1,4,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,,0,,3,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,12,4,0
Callum Moore,Carlton,24,24.32,Key Forward,2,0.85,28.5,15,0,0,0,0,72.5,1,2,3,50,50,50,33.333,0.5,0,39.5,13.167,2,1.5,1.5,2,2.5,1,3.5,71.429,0,1.5,0,0.5,0,0.5,1,0.5,0,0,0.5,0,1.5,-1.5,8.5,11.184,1.5,17.647,1,66.667,2,0,1,50,2,25,0,0,0,0,0,,0,0,0,0,2,8.5,3,1.5
Keegan Brooksby,Hawthorn,30,30.67,Ruck,1,4.1,55,29,0,0,0,0,53,4,1,5,80,75,100,80,0,0,120,24,2,2.5,0,,5,0,5,100,1,1,0,0,2,2,0,0,0,0,0,3,2,1,25,36.232,10,40,4,40,2,0,0,,2,0,0,0,0,0,1,,1,5.556,1,0,2,5,3,2
James Bell,Sydney,21,21.88,Gen. Forward,8,4.725,49.75,40.625,0,0,0,0,69.75,4.625,3.875,8.5,66.176,56.757,77.419,54.412,1.125,0.125,115.75,13.618,2,4.25,2.375,3.579,4.75,3.75,8.5,55.882,0.75,3.625,1.25,0,0.875,0.875,1.5,0.125,0.25,0.125,0.125,1,1,0,0,0,0,,0,,3.5,0.625,0,,0.625,0,3,0.375,0.25,0.75,0,50,1.75,12.727,0.75,0,0.625,11.75,4.375,0.25
Matthew Ling,Sydney,21,21.69,Gen. Defender,3,2.333,30.333,29,0,0,0,0,73,6.667,2,8.667,53.846,45,83.333,76.923,1,2.333,173,19.962,3,2.889,3.333,2.6,2.333,6,8.333,28,2.333,2,0,0,1,1,1.667,0,0,0.667,0,0.333,1,-0.667,0,0,0,,0,,0.667,0,0.667,50,0,,0,0,0,0,0,,0.333,2.273,0,0,2,4.333,3.333,2
Matthew Parker,St Kilda,24,24.93,Gen. Forward,2,2.75,37.5,27.5,0,0,0,0,73.5,4,2.5,6.5,61.538,50,80,61.538,1.5,0,64,9.846,2,3.25,1.5,4.333,3.5,3,6.5,53.846,2,2.5,1,0,0,0,0.5,0,0,0,0.5,1,1,0,0.5,0.61,0,0,0,,2.5,1,0,,0.5,0,0,0,1,1.5,1,0,2,10.256,0.5,0,1,14,3.5,0.5
Charlie Constable,Geelong,21,21.62,Midfielder,2,4.9,62,62,0,0,0,0,58,6.5,11,17.5,54.286,23.077,72.727,37.143,1.5,1,182.5,10.429,4,4.375,3,5.833,9,9,18,50,2.5,7,0.5,1.5,1,2.5,2,0,0,0,0,1,1,0,0,0,0,,0,,4,1,0.5,100,0,,0,0,0.5,1,0,0,1,6.25,0.5,0,0.5,16.5,7.5,0
