Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Lachie Schultz,Collingwood,27,27.08,Gen. Forward,20,6.52,60.75,62.2,3,0.15,1,0,80.4,6.8,5.35,12.15,61.728,52.206,73.832,55.967,2.05,0.2,195.65,16.103,2.35,5.17,2.75,4.418,4.05,7.9,11.95,33.891,1,3.1,1.15,0.95,2.15,2.9,2.4,0.2,1.25,3.55,0,0,0.1,,0.7,0.8,3.1,0.15,1.4,0.05,0.45,0.6,0.75,-0.15,0,0,0,,0,,0,3.8,1.7,0,,0.3,33.333,24,1.2,1.05,2.7,0.2,44.444,4.75,19.958,0.7,54,3.474,-0.418,32,3.863,0.074,22,2.907,-1.135,0,0,,0,1.15,17.4,4.3,0.8
Patrick Lipinski,Collingwood,26,26.45,Mid-Forward,23,9.996,75.652,68.696,13,0.565,3,5,80.783,8.043,9.478,17.522,69.975,63.243,75.688,45.906,2.304,1,234.043,13.357,2.652,6.607,2.826,6.2,6.478,11,17.478,37.065,2.609,5.304,1.348,1.087,4.217,3.87,3.348,0.522,1.391,6.565,1.391,4.908,0.304,21.875,1.478,1.783,3.217,0.043,0.478,0.304,0.043,0.478,0.652,-0.174,0,0,0,,0,,0,3.087,0.652,0.043,0,0.217,40,18,0.783,0.391,1.348,0.522,58.065,4.739,19.782,0.913,31,3.13,0.644,10,3.601,0.399,21,2.906,0.761,0,0,,0.043,0.783,15.217,6.913,0.348
Beau McCreery,Collingwood,23,23.7,Gen. Forward,17,7.741,53.882,53.059,0,0,0,1,73.529,6.294,3.882,10.176,71.098,62.617,84.848,61.85,2.647,0.235,218.176,21.439,2.647,3.844,2.647,3.844,4.059,5.882,9.941,40.828,0.765,2.824,0.941,0.529,2.294,2.529,1.882,0.294,1.353,2.882,3,10.494,0.294,9.804,1.176,1.471,1.647,0.059,0.235,0.176,0.176,0.941,1.118,-0.176,0,0,0,,0,,0,4.941,1.647,0.059,100,0.706,8.333,10,0.588,0.588,1.412,0.471,41.667,3.294,13.365,0.529,24,2.747,0.169,9,2.668,-0.112,15,2.795,0.338,0,0,,0.353,0.765,20.059,6.176,0.353
Josh Daicos,Collingwood,26,26.09,Midfielder,23,9.996,89.565,94.826,27,1.174,5,3,87.957,14.217,10.696,24.913,69.808,63.609,78.049,57.068,3.957,2.913,425.348,17.073,2.826,8.815,3.87,6.438,6.391,17.391,23.783,26.874,3.348,4.565,0.391,0.87,3.696,3.391,2.652,0.739,1.217,10.783,2.783,9.816,0.609,21.875,1.739,2.348,5.217,0.043,0.217,0.435,0.174,1.217,0.391,0.826,0,0,0,,0,,0,3.217,0.217,0.13,66.667,0.043,0,7,0.304,0.391,0.87,0.391,35,4.826,20.145,1.261,20,2.575,-0.025,6,2.961,0.372,14,2.41,-0.196,0.565,5.417,100,0.304,0.522,14.957,8.609,0.174
Bobby Hill,Collingwood,24,24.89,Gen. Forward,23,7.874,62.696,56.13,8,0.348,1,0,78.87,8.13,3,11.13,63.281,52.406,92.754,73.047,2.261,0.043,197.957,17.785,2.696,4.129,2.391,4.655,4.261,6.913,11.174,38.132,0.957,3.13,1.826,0.348,2.783,3.565,2.783,0.174,1.435,2.13,0,0,0.087,,0.435,0.522,3.522,0.261,1.609,0.087,0.826,0.391,0.87,-0.478,0,0,0,,0,,0,2.087,0.913,0,,1,26.087,30,1.304,1.217,3.13,1,41.667,5.435,22.686,0.565,72,3.494,-0.605,36,3.964,-0.214,36,3.024,-0.996,0,0,,0.478,1.13,11.957,1.87,0.391
Isaac Quaynor,Collingwood,24,24.95,Gen. Defender,23,7.152,58.522,53.217,3,0.13,1,0,81.348,7.565,5.217,12.783,77.211,72.414,84.167,59.184,1.13,2.696,219.739,17.19,2.174,5.88,2.696,4.742,4.304,8.348,12.652,34.021,4.348,3.217,0.174,0.826,2.391,3.739,2.739,0,1.043,4.304,0,0,0.043,,0.435,0.478,3.826,0.261,0,1,0.13,0.609,0.696,-0.087,0,0,0,,0,,0,2.391,0,0.957,13.636,0,,2,0.087,0,0.13,0.087,66.667,2.435,10.163,1.087,3,3.156,0.844,0,,,3,3.156,0.844,0.391,3.75,88.889,0.174,1.739,12.391,8.826,1.217
Charlie Dean,Collingwood,23,23.53,Key Defender,8,7.463,55.125,47.125,0,0,0,0,86.5,6.5,4,10.5,84.524,84.615,84.375,61.905,0.125,3,150.625,14.345,1,10.5,1.375,7.636,4,7.25,11.25,35.556,5.25,1.75,0,0.375,1.375,3.875,1.625,0,0.75,1.625,0,0,0,,0,0,5,0.5,0,1.375,0,1.375,0.25,1.125,0,0,0,,0,,0,1,0,2,25,0,,0,0,0,0,0.125,,1.125,4.762,0.5,0,,,0,,,0,,,0,0,,0,4,6,5.125,3.25
Nick Daicos,Collingwood,21,21.99,Midfielder,23,16.778,117.174,104.696,117,5.087,16,38,85.087,16.565,14.087,30.652,67.234,58.268,77.778,54.043,5.522,1.913,493.217,16.091,4.783,6.409,4.652,6.589,13.87,16.304,30.174,45.965,3.304,8.696,1.043,1.826,6.87,4.043,3.696,3.522,1.826,11.739,20.957,73.926,3.043,14.523,4.609,7.652,2.957,0,0.304,0.261,0.13,1.696,1.565,0.13,0,0,0,,0,,0,3.783,0.478,0,,0.13,66.667,20,0.87,0.609,2.087,0.783,41.667,7.348,30.672,2.391,48,2.667,0.124,14,2.935,0.708,34,2.557,-0.116,0.304,2.917,100,0.913,0.783,20.913,9.87,0.13
Scott Pendlebury,Collingwood,36,36.98,Midfielder,20,12.26,86.45,79.15,18,0.9,5,2,73.25,11,9.7,20.7,70.773,64.545,77.835,53.14,2.8,1.6,283,13.671,2.85,7.263,2.3,9,8.3,11.65,19.95,41.604,2.9,5.85,0.4,1,4.85,3,2.4,1.45,1.15,7.75,18.2,65.233,2.2,12.088,1.95,4.15,3.1,0.05,0.15,0.25,0.1,1,0.55,0.45,0.05,0.053,0,0,0,,0,3.95,0.45,0.05,0,0,,7,0.35,0.2,0.65,0.6,53.846,5.25,21.83,1.45,13,2.694,0.845,4,2.771,0.479,9,2.659,1.008,0.15,1.408,100,0.1,1.05,19.3,9.3,0.3
Steele Sidebottom,Collingwood,33,33.99,Midfielder,22,8.373,75.318,73,14,0.636,4,0,84.318,12.273,6.045,18.318,65.757,60.741,75.94,66.998,2.227,3,333.227,18.191,3.455,5.303,4.182,4.38,6,11.545,17.545,34.197,3.682,4.5,0.5,0.818,3.682,3.818,3,0.364,1,6.545,3.045,10.72,0.591,19.403,1.091,1.682,4.091,0.182,0.227,0.818,0.045,0.682,0.955,-0.273,0,0,0,,0,,0,3.136,0.227,0.182,25,0.091,50,4,0.182,0.364,0.727,0.409,25,3.273,13.611,0.773,16,2.541,-0.541,6,2.982,-1.316,10,2.277,-0.077,0.727,7.018,75,0.227,1.773,15.273,9,0.773
Will Hoskin-Elliott,Collingwood,31,31.32,Gen. Forward,20,7.84,65.6,58.65,3,0.15,1,0,80.35,9.7,2.8,12.5,67.2,64.433,76.786,77.6,1.85,1.25,244.05,19.524,2.2,5.682,2.7,4.63,4.3,7.6,11.9,36.134,2.45,3.2,1,0.55,2.65,3.85,2.8,0,0.6,2.6,0,0,0,,0.35,0.35,4.5,0.6,1.3,0.45,0.6,0.4,0.3,0.1,0,0,0,,0,,0,1.3,0.4,0.15,33.333,0.6,25,17,0.85,0.65,1.75,0.7,48.571,4.8,19.794,0.8,35,3.677,-0.391,20,3.827,-0.777,15,3.476,0.124,0.5,4.717,60,0.15,1.85,10,3.35,1.5
Brody Mihocek,Collingwood,31,31.9,Key Forward,11,8.682,60.364,58.636,7,0.636,1,0,86.455,7.091,3.273,10.364,64.912,58.974,77.778,68.421,2.545,0,196,18.912,2.182,4.75,2.636,3.931,5.182,5,10.182,50.893,0.182,2.455,1.545,0.818,1.636,4.727,2.182,0.091,1.091,1.636,0,0,0,,0.091,0.091,3.727,1.273,1.636,0,0.545,1.182,1.273,-0.091,1.091,1.178,0.182,16.667,0.091,50,0.091,2.636,1.182,0,,2,45.455,19,1.727,1.182,3.545,0.273,48.718,5.273,21.723,0.182,39,3.185,0.072,25,3.299,-0.059,14,2.981,0.305,0,0,,0,1,9.091,1.364,0.636
Jamie Elliott,Collingwood,32,32.36,Gen. Forward,15,7.193,63.533,64.2,10,0.667,2,3,83.333,8.333,4.8,13.133,59.898,52.8,72.222,63.452,1.867,0.133,177.467,13.513,3.133,4.191,3.067,4.283,4.333,7.867,12.2,35.519,1.067,2.533,1.533,0.267,2.267,3.4,2.133,0.333,1,3.2,0.067,0.236,0,0,0.467,0.467,3.933,0.467,1.867,0.067,1.467,0.733,0.667,0.067,0,0,0,,0,,0,2.4,1.467,0,,0.867,30.769,21,1.4,1.067,3.133,0.733,44.681,6,24.658,0.667,47,2.849,0.172,31,3.063,-0.03,16,2.435,0.565,0,0,,0.067,0.733,15.2,2.467,0.133
Jack Crisp,Collingwood,31,31.24,Midfielder,23,13.504,87.174,83.087,30,1.304,6,5,76.609,10.435,9.87,20.304,64.24,52.5,76.652,51.392,3.696,1.522,346.826,17.081,3.696,5.494,4.217,4.814,9.261,10.696,19.957,46.405,2.348,7.478,1.348,2.348,5.13,3.87,3.609,0.739,1.957,6.957,15.739,55.521,1.304,8.287,2.87,4.174,2.826,0.043,0.435,0.174,0.13,0.739,0.913,-0.174,0,0,0,,0,,0,5.391,0.652,0.043,100,0.087,0,14,0.609,0.348,1.217,0.304,50,4.478,18.693,1.217,28,2.718,0.568,12,2.891,-0.058,16,2.588,1.037,0,0,,0.13,0.87,22.957,11.304,0.261
Darcy Moore,Collingwood,28,28.93,Key Defender,23,11.165,74.826,48.217,7,0.304,4,0,92.13,7.348,5.261,12.609,85.517,88.166,81.818,58.276,0.87,3.609,226.739,17.983,1.87,6.744,1.739,7.25,4.826,5.261,10.087,47.845,7.217,3.391,0,0.739,2.652,4.739,3.348,0,0.739,1.565,0.043,0.153,0.043,100,0.043,0.087,4.087,0.87,0,2.391,0,0.304,0.783,-0.478,0.217,0.229,0.043,20,0,0,0.043,1.348,0,2.304,15.094,0.043,0,0,0,0,0,0.087,,1.783,7.441,1.435,0,,,0,,,0,,,2.217,21.25,100,0.043,9.261,6.913,5.652,8.652
Oleg Markov,Collingwood,28,28.64,Gen. Defender,12,6.217,47,45.75,0,0,0,0,79.167,5.25,5.167,10.417,79.2,68.254,90.323,50.4,1.333,1,146.25,14.04,2,5.208,1.667,6.25,3.25,7.083,10.333,31.452,2.917,2.75,0.083,0.417,2.333,2.667,2.167,0,0.667,3,0,0,0.083,,0.333,0.417,3.167,0.167,0,0.417,0,0.25,0.417,-0.167,0,0,0,,0,,0,2.667,0.083,0.333,50,0,,1,0.083,0,0.167,0.083,50,1.583,7.17,0.333,2,2.572,0.428,0,,,2,2.572,0.428,0.083,0.775,100,0.333,1.583,11.25,7.583,1.333
Darcy Cameron,Collingwood,29,29.45,Ruck,23,13.757,105.13,96.174,26,1.13,9,0,80.304,10,5.609,15.609,64.345,60,72.093,64.067,1.913,1,169.391,10.852,3.783,4.126,2.826,5.523,9.957,5.304,15.261,65.242,4.696,4.174,0.609,1.087,3.087,4.87,2.217,0.043,0.913,2,21.261,75,1.391,6.544,2.304,3.696,4.609,1.87,0.435,2.435,0.304,1.913,1.435,0.478,65.913,69.509,29.261,44.393,8.043,27.489,1.87,2.826,0.435,0.522,8.333,0.87,25,11,0.478,0.087,0.652,0.348,73.333,4.13,17.241,2.957,15,2.886,1.647,11,3.025,1.884,4,2.505,0.995,0,0,,0,2.348,11.739,5.913,2
Brayden Maynard,Collingwood,28,28.27,Gen. Defender,23,9.791,78,71.043,1,0.043,1,0,83.217,13.087,3.957,17.043,72.449,69.767,81.319,76.786,2.217,4.87,434.174,25.474,3.391,5.026,3.696,4.612,5.478,11.087,16.565,33.071,6.13,3.478,0.043,0.565,2.913,5,3.13,0.043,1.304,5.348,0,0,0.043,,0.478,0.522,5.391,0.261,0,1.043,0.043,0.87,1.13,-0.261,0,0,0,,0,,0,2.348,0,1.087,32,0,,3,0.13,0.043,0.174,0.087,75,2.957,12.341,1.261,4,3.337,1.413,2,3.998,2.002,2,2.677,0.823,1.217,11.667,89.286,0.217,4.435,12.348,8.913,2.783
Jordan De Goey,Collingwood,28,28.79,Midfielder,13,10.631,82,79.846,21,1.615,4,8,81.462,11.154,9.692,20.846,63.838,52.414,76.984,53.506,4.692,0.846,378.692,18.166,4.538,4.593,4.462,4.672,9,11.846,20.846,43.173,1.923,5.462,0.769,1.615,3.846,3.615,2.923,2,1.077,6.769,18.231,63.2,2.154,11.814,1.923,4.077,3.846,0.308,0.692,0.154,0.538,1.077,1.692,-0.615,0,0,0,,0,,0,3.538,0.385,0,,0.231,33.333,10,0.769,0.692,1.923,0.769,40,6.154,26.49,0.692,25,2.399,0.361,11,2.446,1.19,14,2.361,-0.29,0,0,,0,1,13.846,6.154,0.231
Ash Johnson,Collingwood,27,27.23,Key Forward,3,-0.2,17.667,18,0,0,0,0,60.667,2.333,0.667,3,55.556,42.857,100,77.778,0.333,0,41.667,13.889,2,1.5,1.333,2.25,2.333,1.333,3.667,63.636,0.333,1,0.333,0.667,0.333,2.333,1,0,0,0,0,0,0,,0,0,1.667,0.667,0.333,0,0.333,0.667,1,-0.333,0,0,0,,0,,0,1.667,1,0,,1.333,0,0,0,0.333,0.667,0,0,1.333,5.882,0.333,2,3.013,-2.513,2,3.013,-2.513,0,,,0,0,,0.333,0.667,8,1.667,0.333
Mason Cox,Collingwood,33,33.8,Ruck,16,6.388,57.125,50.438,0,0,0,0,67,4.312,3.188,7.5,63.333,46.377,86.275,57.5,1,0.438,90.375,12.05,2.688,2.791,1.625,4.615,5.5,2.562,8.062,68.217,1.375,1.5,0.562,0.438,1.062,3.438,1,0,0.25,0.812,8.125,29.613,0.375,4.615,1.125,1.5,2.875,1.5,0.875,0.75,0.188,1.688,1.375,0.312,29,31.351,14.812,51.078,4.5,30.38,0.312,1.875,0.25,0.312,20,1.75,17.857,6,0.375,0.375,1.062,0.188,35.294,3.875,15.776,2.062,17,3.268,-0.797,15,3.418,-0.751,2,2.142,-1.142,0,0,,0,2.188,8.312,2.438,1.375
Brent Daniels,Greater Western Sydney,25,25.81,Gen. Forward,24,12.142,84.542,80.042,25,1.042,6,0,79.458,10.75,7.083,17.833,65.654,58.915,75.882,60.28,4.167,0.375,317.25,17.79,3.417,5.22,3.75,4.756,6.75,10.5,17.25,39.13,0.875,4.958,1.958,1.417,3.542,3.292,2.667,0.792,1.458,6.208,2.167,7.625,0.375,17.308,2.208,2.583,3.208,0.167,0.875,0.042,0.292,0.833,0.667,0.167,0,0,0,,0,,0,4.667,1.583,0,,0.375,22.222,23,0.958,0.75,2,1.542,47.917,6.125,26.727,0.917,48,2.781,0.469,21,2.956,0.092,27,2.646,0.762,0,0,,0.125,1.042,21.667,6.375,0.208
Jacob Wehr,Greater Western Sydney,26,26.49,Midfielder,11,5.809,55.364,54.273,0,0,0,0,82.364,8.545,5.364,13.909,70.588,64.894,79.661,61.438,2.455,1.545,274.091,19.706,2.273,6.12,2.909,4.781,4.273,10.182,14.455,29.56,3.273,3.364,0.182,0.818,2.545,3.273,2.636,0.182,1.091,5.545,0,0,0.091,,0.727,0.818,3.455,0,0.091,0.364,0.091,0.818,0.364,0.455,0,0,0,,0,,0,1.909,0,0.091,0,0.091,0,0,0,0.182,0.182,0.273,0,2.909,12.075,0.909,2,3.073,-2.073,1,4.657,-3.657,1,1.489,-0.489,0,0,,0.091,1.091,13.182,7.455,0.455
Sam Taylor,Greater Western Sydney,25,25.65,Key Defender,18,10.044,71.333,50.556,16,0.889,3,2,93.333,5.833,6.278,12.111,79.817,81.905,77.876,48.165,0.278,2.389,100.889,8.33,2.111,5.737,2.278,5.317,6.389,5.5,11.889,53.738,8.556,3.667,0,0.5,3.167,6.278,3.611,0,1.222,2.056,0,0,0,,0.056,0.056,4.722,1.778,0,3.333,0,0.944,0.722,0.222,0,0,0,,0,,0,1.889,0,2.889,23.077,0,,0,0,0,0,0,,1.333,5.868,1.111,0,,,0,,,0,,,0,0,,0.278,6.167,8.722,7.389,5.611
Xavier O'Halloran,Greater Western Sydney,24,24.47,Mid-Forward,19,7.568,51.684,46.632,5,0.263,1,0,69.211,6.789,4.368,11.158,64.151,59.69,71.084,60.849,3.105,0.737,237.211,21.259,2.684,4.157,2.474,4.511,4.211,7.263,11.474,36.697,1.474,3.105,0.842,0.632,2.474,3.211,2.526,0.053,1.421,4.316,3,10.878,0.368,12.281,0.368,0.737,2.158,0.211,0.474,0.053,0.158,0.421,1,-0.579,0,0,0,,0,,0,2.684,0.789,0.053,100,0.421,25,8,0.421,0.368,1,0.684,42.105,3.684,16.018,0.579,19,2.628,0.266,10,2.722,-1.022,9,2.524,1.698,0,0,,0,1.211,15.895,5.474,0.421
Connor Idun,Greater Western Sydney,24,24.42,Gen. Defender,25,11.056,85.44,72.64,6,0.24,3,0,92.2,9.04,10.08,19.12,85.356,84.956,85.714,47.28,0.48,3.68,240.12,12.559,1.4,13.657,1.84,10.391,5.96,12.84,18.8,31.702,6.56,4.88,0.04,1.48,3.4,5.4,4.44,0.08,1.2,5.32,0,0,0,,0.32,0.32,6.8,0.36,0,0.92,0.08,0.24,0.36,-0.12,0,0,0,,0,,0,1.44,0,2.04,11.765,0.04,0,0,0,0.04,0.04,0,0,2.44,10.777,0.68,1,1.875,-0.875,0,,,1,1.875,-0.875,0.36,3.02,100,0.48,4.88,8.32,7.08,3.96
Jake Riccardi,Greater Western Sydney,25,25.14,Key Forward,19,5.695,57.368,59.737,3,0.158,1,2,73.158,7,3.789,10.789,67.805,63.158,76.389,64.878,1.947,0.368,167.368,15.512,2.526,4.271,2.684,4.02,3.842,6.947,10.789,35.61,0.684,1.684,0.474,0.526,1.158,2.789,1.053,0,0.263,2.421,4.368,15.543,0.368,8.434,0.474,0.842,4.895,1.421,2.105,0.263,0.684,0.368,0.789,-0.421,16.895,17.913,3.947,23.364,0.737,18.667,0.105,1.421,0.421,0.316,33.333,1.579,26.667,26,1.368,0.632,2.421,0.632,56.522,4.842,21.101,0.895,46,3.742,-0.09,40,3.979,-0.154,6,2.168,0.332,0,0,,0,1,8.211,2.684,0.579
Toby Bedford,Greater Western Sydney,24,24.59,Mid-Forward,23,7.391,61.826,58.304,10,0.435,1,2,84.348,4.478,7.174,11.652,76.866,63.107,85.455,38.433,2.261,0.217,164.87,14.149,2.174,5.36,2.13,5.469,4.174,8.13,12.304,33.922,1.391,2.957,0.652,0.87,2.087,2.826,2.13,0.217,1,5.478,12.652,44.564,0.391,3.093,0.957,1.348,1.783,0.087,0.478,0.087,0.217,0.739,1,-0.261,0,0,0,,0,,0,6.13,1,0,,0.13,0,10,0.435,0.304,0.783,0.565,55.556,3.609,15.72,0.565,18,3.508,0.215,11,3.748,-0.021,7,3.13,0.584,0,0,,0.217,1.043,23.304,8.696,0.478
Kieren Briggs,Greater Western Sydney,25,25.23,Ruck,24,13.188,94.875,92.333,23,0.958,6,1,74.25,8.125,6.917,15.042,56.51,43.59,71.687,54.017,2.417,1.375,206.375,13.72,4.625,3.252,3.042,4.945,10.208,4.042,14.25,71.637,2.167,3.667,0.417,1.292,2.375,2.25,1.25,0,0.542,2.042,22.708,79.912,2.5,11.009,3.667,6.167,2,0.458,0.25,0.833,0.042,1.25,1.708,-0.458,74.125,75.413,31.75,42.833,8.375,26.378,4.167,4.75,0.417,0.917,31.818,0.458,9.091,3,0.125,0.5,0.708,0.417,17.647,4.333,18.944,3.375,17,2.769,-1.004,9,3.098,-1.209,8,2.399,-0.774,0,0,,0.042,2.458,14.042,7.458,1.417
Lachie Ash,Greater Western Sydney,23,23.52,Gen. Defender,19,9.147,82.895,75.789,8,0.421,1,0,77.316,12.789,7.526,20.316,80.052,77.366,84.615,62.953,1.632,4.053,362.263,17.832,2.263,8.977,3.211,6.328,4.526,14.053,18.579,24.363,4.053,3.895,0,0.789,3.105,3.474,3,0.105,0.842,7.947,0,0,0.105,,0.632,0.737,5.316,0.053,0.105,0.632,0.053,0.368,0.421,-0.053,0,0,0,,0,,0,1.737,0,0.579,18.182,0,,1,0.053,0.053,0.158,0.316,33.333,3.263,14.059,0.947,3,2.21,0.124,1,1.207,-1.207,2,2.711,0.789,2.421,21.005,97.826,1.368,2.316,10.158,7.526,1.895
Tom Green,Greater Western Sydney,23,23.93,Midfielder,25,14.244,106,99.76,54,2.16,12,27,80.48,13.36,17.44,30.8,64.675,49.401,76.376,43.377,4,2.48,414.36,13.453,5.04,6.111,5.08,6.063,14.52,16.4,30.92,46.96,3.8,10.64,0.88,3.88,6.76,5.12,4.72,3.2,1.96,12.28,22.56,79.774,2.44,10.816,3.72,6.16,3,0.08,0.08,0.2,0.24,0.48,1.04,-0.56,0.16,0.163,0,0,0,,0,4.04,0.32,0.04,0,0,,9,0.36,0.12,0.68,0.24,52.941,5.28,23.322,1.48,17,2.303,1.05,5,2.672,3.328,12,2.149,0.101,0,0,,0.12,0.76,21.44,11.32,0.12
Jack Buckley,Greater Western Sydney,27,27.03,Key Defender,23,11.387,77.391,60.478,22,0.957,7,0,94.522,8.783,5.087,13.87,82.445,79.703,87.179,63.323,0.87,2.826,232.087,16.734,1.696,8.179,1.957,7.089,5.043,8.739,13.783,36.593,6.87,3,0,0.652,2.348,5,2.957,0,0.565,3.13,0,0,0,,0.043,0.043,5.783,0.957,0,2.391,0,0.826,0.826,0,0,0,0,,0,,0,2,0.043,3.913,30,0.087,50,1,0.043,0,0.043,0.043,100,1.913,8.397,1.13,1,4.551,1.449,1,4.551,1.449,0,,,0.043,0.361,0,0.565,7.174,8.826,7.174,6.261
Callum M. Brown,Greater Western Sydney,24,24.37,Gen. Forward,13,7.869,49.154,41.538,7,0.538,1,2,76.769,4.462,3.231,7.692,82,75.862,90.476,58,1.308,0.077,133.846,17.4,1.769,4.348,1.385,5.556,3.154,5.077,8.231,38.318,0.308,1.769,0.846,0.308,1.462,2.769,1.615,0,0.615,1.923,0.231,0.813,0,0,0.385,0.385,2.692,0.769,1.077,0.077,0.308,0.308,0.615,-0.308,0.538,0.587,0.154,28.571,0,0,0,1.692,0.538,0.077,0,1.462,36.842,17,1.308,0.385,1.769,0.385,73.913,4.154,17.363,0.538,23,3.339,1.313,16,3.441,1.934,7,3.107,-0.107,0,0,,0,2.077,9.308,2.769,1.385
Aaron Cadman,Greater Western Sydney,20,20.83,Key Forward,23,6.496,49.522,45.87,0,0,0,0,68.261,4.87,2.609,7.478,62.209,59.821,66.667,65.116,1.261,0.217,133.478,17.849,1.696,4.41,1.826,4.095,3.304,4.348,7.652,43.182,0.739,2.087,0.87,0.739,1.348,2.913,1.739,0,0.391,1.696,1.261,4.468,0.087,6.897,0.174,0.261,2.348,0.435,1.348,0.043,0.652,0.522,0.783,-0.261,6,6.114,0.87,14.493,0.261,30,0,2.913,1.348,0.13,66.667,1.609,18.919,30,1.304,0.478,2.13,0.174,61.224,3.348,14.583,0.348,49,3.431,0.467,34,3.491,0.597,15,3.294,0.172,0,0,,0.087,0.957,9.87,2.565,0.522
Harvey Thomas,Greater Western Sydney,19,19.39,Gen. Forward,22,6.9,52.227,46.318,0,0,0,0,67.409,4.818,6.5,11.318,73.896,58.491,85.315,42.57,1.455,0.318,132.545,11.711,1.636,6.917,2.091,5.413,4.773,7.045,11.818,40.385,1.545,3.682,1.727,1,2.636,3.636,3.045,0.318,1.136,4.091,0,0,0.045,,0.636,0.682,2.045,0.091,0.409,0.091,0,0.227,0.364,-0.136,0,0,0,,0,,0,2.727,1.091,0,,0.318,14.286,9,0.409,0.227,0.727,0.591,56.25,3.455,15.416,0.545,16,4.153,-0.465,8,4.253,-0.128,8,4.053,-0.803,0,0,,0.045,1.364,14.364,4.864,0.409
Toby McMullin,Greater Western Sydney,20,20.4,Gen. Forward,14,5.536,42.286,40.286,0,0,0,0,57.357,4.5,4.214,8.714,70.492,71.429,69.492,51.639,1.214,0.714,147.643,16.943,1.357,6.421,1.786,4.88,2.714,6,8.714,31.148,1.214,1.786,0.286,0.571,1.214,1.929,1.429,0.214,0.357,3.5,0.857,3.008,0.071,8.333,0.5,0.571,1.643,0.143,0.214,0.214,0.143,0.714,0.286,0.429,0,0,0,,0,,0,2.714,0.786,0.071,100,0.071,0,6,0.429,0.143,0.643,0.143,66.667,2.571,11.688,0.5,9,3.479,0.743,6,4.066,1.101,3,2.305,0.028,0,0,,0.071,0.5,12.5,5.071,0.214
Callan Ward,Greater Western Sydney,34,34.72,Midfielder,20,9.815,79.8,73.35,7,0.35,2,0,78.3,9.65,8.75,18.4,75.272,64.767,86.857,52.446,1.85,1.65,236.15,12.834,2.2,8.364,2.55,7.216,7,11.5,18.5,37.838,3.2,5.3,0.45,1.4,3.9,3.4,2.4,0.6,1.05,6.5,4.35,15.508,0.35,8.046,2.3,2.65,4.35,0.2,0.55,0.6,0.3,0.85,0.6,0.25,0,0,0,,0,,0,2.7,0.3,0.1,0,0.15,0,13,0.65,0.1,0.9,0.2,72.222,4.05,18.97,0.9,18,3.404,1.041,12,3.69,0.976,6,2.831,1.169,0,0,,0.2,1.15,11.85,6.15,0.7
Stephen Coniglio,Greater Western Sydney,31,31.04,Midfielder,15,9.493,73.067,71.533,8,0.533,1,1,73.733,11.267,9.8,21.067,66.772,55.621,79.592,53.481,3.6,1.4,314.4,14.924,3.933,5.356,3.6,5.852,7.267,13.333,20.6,35.275,1.867,4.667,0.533,1.467,3.2,2.533,2.067,1.4,1.2,10.333,18.4,62.87,2,10.87,2,4,1.867,0.067,0.267,0.067,0.067,1.067,1.267,-0.2,0.067,0.066,0,0,0,,0,3.333,0.133,0,,0,,4,0.267,0.333,0.733,1.267,36.364,5.6,24.069,0.733,11,2.995,-0.358,3,3.282,1.051,8,2.887,-0.887,0,0,,0.4,0.8,14.4,7,0.067
